City,Cost Per Squarefoot
foster city,3.3046357615894038
palo alto,6.0835214446952595
brisbane,2.536231884057971
san mateo,3.2485207100591715
santa clara,2.8681898066783833
san jose south,2.4330900243309004
sunnyvale,3.3712660028449504
SOMA - south beach,4.209302325581396
dublin - pleasanton - livermore,3.1839622641509435
hercules pinole san pablo el sob,2.5104895104895104
corte madera,2.8043052837573383
